,City,Country,Date,Lat,Lng,Max_Temperature,Humidity,Clouds,Wind_Speed
0,busselton,AU,2017-08-23 04:32:16,-33.65,115.33,59.48,100,12,7.4
1,avarua,CK,2017-08-23 04:00:00,-21.21,-159.78,78.8,69,20,3.36
2,honningsvag,NO,2017-08-23 03:50:00,70.98,25.97,44.6,81,75,1.12
3,ribeira grande,PT,2017-08-23 04:32:20,38.52,-28.7,74.96,96,64,17.58
4,tsihombe,MG,2017-08-23 04:32:21,-25.3,45.48,74.42,51,8,9.98
5,mataura,IN,2017-08-23 03:30:00,27.5,77.68,91.4,131,40,4.7
6,normandin,CA,2017-08-23 03:00:00,48.83,-72.53,68,94,40,9.17
7,tasiilaq,GL,2017-08-23 03:50:00,65.61,-37.64,44.6,87,92,5.82
8,punta arenas,CL,2017-08-23 04:00:00,-53.15,-70.92,33.8,74,0,26.4
9,husavik,IS,2017-08-23 04:00:00,66.04,-17.34,48.2,87,90,1.36
10,new norfolk,AU,2017-08-23 04:00:00,-42.78,147.06,48.2,87,75,5.82
11,hami,CN,2017-08-23 04:32:29,42.8,93.45,79.55,42,0,4.38
12,cherskiy,RU,2017-08-23 04:32:30,68.75,161.3,57.23,59,56,2.93
13,hermanus,ZA,2017-08-23 04:32:31,-34.42,19.23,47.42,85,12,8.86
14,navahrudak,BY,2017-08-23 04:32:32,53.6,25.83,56.87,87,48,10.42
15,pevek,RU,2017-08-23 04:32:33,69.7,170.31,49.67,87,0,1.92
16,marsh harbour,BS,2017-08-23 04:32:35,26.54,-77.06,84.05,100,80,15.68
17,nikolskoye,RU,2017-08-23 04:00:00,59.68,30.67,59,93,90,4.47
18,lasa,IT,2017-08-23 03:50:00,46.62,10.7,50,93,0,2.24
19,vestmanna,FO,2017-08-23 03:50:00,62.16,-7.17,51.8,81,56,10.29
20,kodiak,US,2017-08-23 03:53:00,57.79,-152.41,66.2,45,1,8.05
21,ushuaia,AR,2017-08-23 04:00:00,-54.8,-68.3,35.6,64,40,14.99
22,albany,US,2017-08-23 04:03:00,42.65,-73.76,71.6,88,90,4.7
23,tomatlan,MX,2017-08-23 04:32:42,19.93,-105.25,77.21,92,88,1.25
24,oistins,BB,2017-08-23 04:00:00,13.07,-59.53,77,100,20,5.82
25,taganak,PH,2017-08-23 03:00:00,6.08,118.3,82.4,83,75,3.36
26,fukue,JP,2017-08-23 04:32:46,32.69,128.84,85.85,96,68,12.21
27,pombas,CV,2017-08-23 04:32:47,17.15,-25.02,75.86,100,100,11.99
28,nabire,ID,2017-08-23 04:32:48,-3.37,135.48,78.11,82,32,2.37
